"","orig.ident","nCount_RNA","nFeature_RNA","uniqueID","embryo","pos","z","x_global","y_global","x_global_affine","y_global_affine","embryo_pos","embryo_pos_z","Area","UMAP1","UMAP2","celltype_mapped_refined"
"embryo1_Pos0_cell100_z2","embryo1",107,80,"embryo1_Pos0_cell100_z2","embryo1","Pos0",2,1625.05512829614,1346.2680074096,0.961726023700962,-2.94395081528682,"embryo1_Pos0","embryo1_Pos0_2",8144,-6.46233695226248,-1.03425809468501,"Erythroid"
"embryo1_Pos0_cell101_z2","embryo1",106,70,"embryo1_Pos0_cell101_z2","embryo1","Pos0",2,1624.99788852585,1344.50841714734,0.959879579498015,-3.00071179148854,"embryo1_Pos0","embryo1_Pos0_2",8560,-6.81090681123107,-0.845417267115455,"Erythroid"
"embryo1_Pos0_cell102_z2","embryo1",886,210,"embryo1_Pos0_cell102_z2","embryo1","Pos0",2,1625.71628800358,1335.71495846668,0.983053756198984,-3.28437174892929,"embryo1_Pos0","embryo1_Pos0_2",15936,4.06760389960925,0.122409865548543,"Gut tube"
"embryo1_Pos0_cell105_z2","embryo1",99,68,"embryo1_Pos0_cell105_z2","embryo1","Pos0",2,1625.28252264794,1349.82345516124,0.969061325371946,-2.82925895233065,"embryo1_Pos0","embryo1_Pos0_2",6768,-6.67061271044251,-0.926943311454416,"Erythroid"
"embryo1_Pos0_cell106_z2","embryo1",267,147,"embryo1_Pos0_cell106_z2","embryo1","Pos0",2,1625.24231710552,1352.7175252781,0.967764372390597,-2.73590185178671,"embryo1_Pos0","embryo1_Pos0_2",7776,-3.56923281203749,-3.79883841787565,"Haematoendothelial progenitors"
"embryo1_Pos0_cell107_z2","embryo1",138,89,"embryo1_Pos0_cell107_z2","embryo1","Pos0",2,1625.65673332767,1350.86700846354,0.981132637621407,-2.79559594257888,"embryo1_Pos0","embryo1_Pos0_2",11040,-6.73688438804183,-0.894907990760216,"Erythroid"
"embryo1_Pos0_cell108_z2","embryo1",309,133,"embryo1_Pos0_cell108_z2","embryo1","Pos0",2,1625.29862554023,1354.74675344914,0.969580773510245,-2.67044287852747,"embryo1_Pos0","embryo1_Pos0_2",6016,2.5301504734191,-4.25535152822264,"Allantois"
"embryo1_Pos0_cell109_z2","embryo1",366,154,"embryo1_Pos0_cell109_z2","embryo1","Pos0",2,1625.60086555431,1358.30821673495,0.979330451383774,-2.55555696608175,"embryo1_Pos0","embryo1_Pos0_2",12112,1.15137212647323,-4.7698806948139,"Lateral plate mesoderm"
"embryo1_Pos0_cell11_z2","embryo1",140,81,"embryo1_Pos0_cell11_z2","embryo1","Pos0",2,1617.26016235352,1351.46667480469,0.710275509422814,-2.77625186705806,"embryo1_Pos0","embryo1_Pos0_2",4096,1.27111417383677,-4.43706565678271,"Lateral plate mesoderm"
"embryo1_Pos0_cell110_z2","embryo1",225,110,"embryo1_Pos0_cell110_z2","embryo1","Pos0",2,1625.60013052133,1339.00493445763,0.97930674064277,-3.17824349115661,"embryo1_Pos0","embryo1_Pos0_2",6656,3.99858028989927,0.201868402697238,"Gut tube"
"embryo1_Pos0_cell111_z2","embryo1",327,138,"embryo1_Pos0_cell111_z2","embryo1","Pos0",2,1625.80468818772,1359.66193950814,0.985905375042314,-2.51188848952724,"embryo1_Pos0","embryo1_Pos0_2",5680,1.15608849436752,-4.65400550109016,"Lateral plate mesoderm"
"embryo1_Pos0_cell112_z2","embryo1",453,169,"embryo1_Pos0_cell112_z2","embryo1","Pos0",2,1626.16057122181,1337.48546522577,0.997385472916051,-3.22725862766842,"embryo1_Pos0","embryo1_Pos0_2",11616,4.04359891269974,0.105106145688989,"Gut tube"
"embryo1_Pos0_cell113_z2","embryo1",129,86,"embryo1_Pos0_cell113_z2","embryo1","Pos0",2,1626.16570873337,1345.42865897182,0.997551199095568,-2.97102657134395,"embryo1_Pos0","embryo1_Pos0_2",7968,-6.72075574360542,-1.22218769771248,"Erythroid"
"embryo1_Pos0_cell114_z2","embryo1",142,90,"embryo1_Pos0_cell114_z2","embryo1","Pos0",2,1626.12802834024,1347.08525888871,0.996335702543028,-2.9175878643476,"embryo1_Pos0","embryo1_Pos0_2",7840,-6.66130051312737,-0.983709355609299,"Erythroid"
"embryo1_Pos0_cell115_z2","embryo1",146,100,"embryo1_Pos0_cell115_z2","embryo1","Pos0",2,1625.96607006555,1357.14922230454,0.991111242069181,-2.59294388319192,"embryo1_Pos0","embryo1_Pos0_2",4176,2.18952674210386,-4.01254593707163,"Allantois"
"embryo1_Pos0_cell116_z2","embryo1",200,110,"embryo1_Pos0_cell116_z2","embryo1","Pos0",2,1626.54872139015,1339.31879244857,1.00990644608856,-3.16811903983601,"embryo1_Pos0","embryo1_Pos0_2",6368,3.6476414852915,-0.0678481373214183,"Gut tube"
"embryo1_Pos0_cell117_z2","embryo1",363,153,"embryo1_Pos0_cell117_z2","embryo1","Pos0",2,1626.49170983356,1340.22650942595,1.00806736361778,-3.13883784701729,"embryo1_Pos0","embryo1_Pos0_2",7360,3.96453323767219,0.170248894625607,"Gut tube"
"embryo1_Pos0_cell118_z2","embryo1",425,174,"embryo1_Pos0_cell118_z2","embryo1","Pos0",2,1626.47799352823,1354.06434424646,1.00762490215553,-2.69245607861389,"embryo1_Pos0","embryo1_Pos0_2",10512,-3.42284151432751,-3.69966441237695,"Haematoendothelial progenitors"
"embryo1_Pos0_cell119_z2","embryo1",349,128,"embryo1_Pos0_cell119_z2","embryo1","Pos0",2,1626.40933195891,1352.02484411169,1.00541001282269,-2.75824640554185,"embryo1_Pos0","embryo1_Pos0_2",10800,-6.8752969104423,-1.50163351442834,"Erythroid"
"embryo1_Pos0_cell12_z2","embryo1",120,75,"embryo1_Pos0_cell12_z2","embryo1","Pos0",2,1617.20908810857,1353.45460346533,0.708627953134254,-2.71212513606959,"embryo1_Pos0","embryo1_Pos0_2",3728,1.07177087481134,-4.50755143776859,"Lateral plate mesoderm"
"embryo1_Pos0_cell120_z2","embryo1",328,133,"embryo1_Pos0_cell120_z2","embryo1","Pos0",2,1626.23917429071,1355.47173108553,0.999921055783837,-2.64705650316003,"embryo1_Pos0","embryo1_Pos0_2",4864,2.28387587497386,-4.04699146717534,"Allantois"
"embryo1_Pos0_cell121_z2","embryo1",103,69,"embryo1_Pos0_cell121_z2","embryo1","Pos0",2,1626.45197379009,1349.03849283854,1.00678555576381,-2.85458031757889,"embryo1_Pos0","embryo1_Pos0_2",8544,-7.32406476530929,-0.792622306677175,"Erythroid"
"embryo1_Pos0_cell122_z2","embryo1",533,194,"embryo1_Pos0_cell122_z2","embryo1","Pos0",2,1626.94069142972,1356.92117321794,1.02255064091324,-2.60030030534035,"embryo1_Pos0","embryo1_Pos0_2",11984,2.58808864978412,-4.04540053891599,"Allantois"
"embryo1_Pos0_cell123_z2","embryo1",260,133,"embryo1_Pos0_cell123_z2","embryo1","Pos0",2,1626.71292682251,1336.43812151888,1.01520339551928,-3.26104390853578,"embryo1_Pos0","embryo1_Pos0_2",5072,3.87841818196479,0.259102879864385,"Gut tube"
"embryo1_Pos0_cell124_z2","embryo1",260,125,"embryo1_Pos0_cell124_z2","embryo1","Pos0",2,1626.87059810488,1358.81510397785,1.02028956591843,-2.53920576469799,"embryo1_Pos0","embryo1_Pos0_2",6896,1.97028322399021,-4.30689364016899,"Lateral plate mesoderm"
"embryo1_Pos0_cell125_z2","embryo1",123,82,"embryo1_Pos0_cell125_z2","embryo1","Pos0",2,1626.84300836527,1341.04478214672,1.01939957431816,-3.11244195279901,"embryo1_Pos0","embryo1_Pos0_2",2544,3.88367390471563,0.221805289018413,"Gut tube"
"embryo1_Pos0_cell126_z2","embryo1",213,103,"embryo1_Pos0_cell126_z2","embryo1","Pos0",2,1627.0003431627,1353.07177563647,1.02447489036414,-2.72447442087143,"embryo1_Pos0","embryo1_Pos0_2",4576,-5.60913443551952,-5.08574668256773,"Endothelium"
"embryo1_Pos0_cell127_z2","embryo1",173,101,"embryo1_Pos0_cell127_z2","embryo1","Pos0",2,1627.02807617188,1338.31232561384,1.02536950356344,-3.20058571192413,"embryo1_Pos0","embryo1_Pos0_2",4032,3.65052834186401,0.0494127887137134,"Gut tube"
"embryo1_Pos0_cell128_z2","embryo1",251,116,"embryo1_Pos0_cell128_z2","embryo1","Pos0",2,1627.16449824466,1341.8766916782,1.02977021558875,-3.08560616146074,"embryo1_Pos0","embryo1_Pos0_2",6320,-5.08642086790509,-4.76333823140476,"Endothelium"
"embryo1_Pos0_cell129_z2","embryo1",78,54,"embryo1_Pos0_cell129_z2","embryo1","Pos0",2,1627.09429222993,1347.98447832543,1.0275055054361,-2.88858078574368,"embryo1_Pos0","embryo1_Pos0_2",4272,-6.85790974204081,-0.950010591418143,"Erythroid"
"embryo1_Pos0_cell13_z2","embryo1",330,152,"embryo1_Pos0_cell13_z2","embryo1","Pos0",2,1617.44458126616,1355.51745041153,0.716224506604796,-2.64558168619202,"embryo1_Pos0","embryo1_Pos0_2",6576,-3.88519668653485,-4.3587195742135,"Haematoendothelial progenitors"
"embryo1_Pos0_cell130_z2","embryo1",207,91,"embryo1_Pos0_cell130_z2","embryo1","Pos0",2,1627.25509535246,1346.7435682452,1.03269270293713,-2.9286101431704,"embryo1_Pos0","embryo1_Pos0_2",7664,-7.48072008961192,-0.866403616272074,"Erythroid"
"embryo1_Pos0_cell131_z2","embryo1",98,64,"embryo1_Pos0_cell131_z2","embryo1","Pos0",2,1627.37615282546,1349.80189028342,1.03659778271142,-2.82995459355048,"embryo1_Pos0","embryo1_Pos0_2",7136,-7.49356606984779,-0.766936635875251,"Erythroid"
"embryo1_Pos0_cell132_z2","embryo1",1062,252,"embryo1_Pos0_cell132_z2","embryo1","Pos0",2,1628.28372585142,1355.68209210873,1.06587433193577,-2.64027066370186,"embryo1_Pos0","embryo1_Pos0_2",23248,-3.94106721725119,-4.37550625363396,"Haematoendothelial progenitors"
"embryo1_Pos0_cell133_z2","embryo1",158,96,"embryo1_Pos0_cell133_z2","embryo1","Pos0",2,1627.69515402275,1351.11641909951,1.04688814391432,-2.78755043819292,"embryo1_Pos0","embryo1_Pos0_2",9120,-7.41471105379205,-0.886064030995973,"Erythroid"
"embryo1_Pos0_cell135_z2","embryo1",277,132,"embryo1_Pos0_cell135_z2","embryo1","Pos0",2,1627.59399784909,1336.13700121143,1.04362504153812,-3.27075746684049,"embryo1_Pos0","embryo1_Pos0_2",6320,4.02470138850487,0.101447137149501,"Gut tube"
"embryo1_Pos0_cell136_z2","embryo1",193,114,"embryo1_Pos0_cell136_z2","embryo1","Pos0",2,1628.24496548847,1359.37101790049,1.06462399764717,-2.52127305751618,"embryo1_Pos0","embryo1_Pos0_2",13184,2.26379273617805,-4.0842518625879,"Allantois"
"embryo1_Pos0_cell137_z2","embryo1",591,197,"embryo1_Pos0_cell137_z2","embryo1","Pos0",2,1628.02113807091,1334.91601186899,1.05740375837112,-3.31014421982248,"embryo1_Pos0","embryo1_Pos0_2",10400,4.05301479825086,0.104842726546877,"Gut tube"
